Germany, 83240.52
Guatemala, 16858.33
Chad, 16425.86
Seychelles, 98.46
United States of America, 329484.12
Mexico, 128932.75
Republic of Korea, 51780.58
Australia, 25687.04
Croatia, 4047.20
Lebanon, 6825.44
