name,region,psychiatrist_count
Guatemala,Americas,0.49
Chad,Africa,0.007
Seychelles,Africa,2.13
United States of America,Americas,10.54
Mexico,Americas,0.21
Republic of Korea,Western Pacific,5.79
Australia,Western Pacific,13.53
Croatia,Europe,11.1
Lebanon,Eastern Mediterranean,1.21
Germany,Europe,13.2
